Ion name,Ion mass,Charge ,1/Charge,Mass
[M+H]+,M + 1.007276 ,1+,1,1.007276
[M+NH4]+,M + 18.033823 ,1+,1,18.033823
[M+Na]+,M + 22.989218 ,1+,1,22.989218
[M+K]+,M + 38.963158 ,1+,1,38.963158
[M+2H]2+,M/2 + 1.007276 ,2+,0.5,1.007276
[2M+H]+,2M + 1.007276 ,0.5,2,1.007276
[2M+NH4]+,2M + 18.033823 ,0.5,2,18.033823
[2M+Na]+,2M + 22.989218 ,0.5,2,22.989218
[2M+ACN+H]+,2M + 42.033823 ,0.5,2,42.033823
[2M+ACN+Na]+,2M + 64.015765 ,0.5,2,64.015765
[2M+K]+,2M + 38.963158 ,0.5,2,38.963158
[M+H+Na]2+,M/2 + 11.998247 ,2,0.5,11.998247
[M+H+K]2+,M/2 + 19.985217 ,2,0.5,19.985217
[M+ACN+H]+,M + 42.033823 ,1,1,42.033823
[M+2Na-H]+,M + 44.971160 ,1,1,44.971160
[M+IsoProp+H]+,M + 61.06534,1,1,61.065340
[M+ACN+Na]+,M + 64.015765 ,1,1,64.015765
[M+2K-H]+,M + 76.919040 ,1,1,76.919040
[M+DMSO+H]+,M + 79.02122 ,1,1,79.021220
[M+2ACN+H]+,M + 83.060370 ,1,1,83.060370
[M+IsoProp+Na+H]+,M + 84.05511,1,1,84.055110
[M+CH3OH+H]+,M + 33.033489 ,1,1,33.033489
[M+ACN+2H]2+,M/2 + 21.520550 ,2,0.5,21.520550
[M+2Na]2+,M/2 + 22.989218 ,2,0.5,22.989218
[M+2ACN+2H]2+,M/2 + 42.033823 ,2,0.5,42.033823
[M+3ACN+2H]2+,M/2 + 62.547097 ,2,0.5,62.547097
[M+H+NH4]2+,M/2 + 9.520550 ,2,0.5,9.520550
[M+3H]3+,M/3 + 1.007276 ,3,0.33,1.007276
[M+2H+Na]3+,M/3 + 8.334590 ,3,0.33,8.334590
[M+H+2Na]3+,M/3 + 15.7661904 ,3,0.33,15.662453
[M+3Na]3+,M/3 + 22.989218 ,3,0.33,22.989218
[M+H-H2O]+,M + 64.015765 ,1,1,-17.008024
