Ion name,Ion mass,Charge ,1/Charge,Mass
[M+H]+,M + 1.007276 ,1+,1,1.007276
[M+NH4]+,M + 18.033823 ,1+,1,18.033823
[M+Na]+,M + 22.989218 ,1+,1,22.989218
[M+K]+,M + 38.963158 ,1+,1,38.963158
[M+2H]2+,M/2 + 1.007276 ,2+,0.5,1.007276
[M+H-H2O]+,M + 64.015765 ,1,1,-17.008024
[2M+H]+,2M + 1.007276 ,0.5,2,1.007276
[2M+NH4]+,2M + 18.033823 ,0.5,2,18.033823
[2M+Na]+,2M + 22.989218 ,0.5,2,22.989218
[2M+K]+,2M + 38.963158 ,0.5,2,38.963158
[M+H+Na]2+,M/2 + 11.998247 ,2,0.5,11.998247
[M+H+K]2+,M/2 + 19.985217 ,2,0.5,19.985217
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
